idweb,dateparution,dept,code_departement,nomacheteur,objet,descripteur_str,famille_libelle,procedure_libelle,nature_libelle,score_perimetre,dans_perimetre,cyclable_detecte,cyclable_mots,alerte_l228,url_avis
26-33442,2026-04-01,95,"['95', '60']",Communauté de Communes Carnelles Pays de France,Travaux d'aménagement d'un parking sur la commune de Villaines-sous-Bois,Matériel de travaux publics,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33442
26-33496,2026-04-01,69,['69'],Commune de Charbonnières-les-Bains,Désimperméabilisation et végétalisation du groupe scolaire Bernard Paday,Terrassement,Marchés entre 90 k€ et seuils européens,Procédure NC,Résultat de marché,1,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33496
26-33723,2026-04-01,35,['35'],Conseil Départemental d'Ille et Vilaine,COL CHATEAUGIRON,Occultation,Marchés <90 k€ (MAPA),Procédure Adaptée,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33723
26-33668,2026-04-01,68,['68'],Hôpitaux Civils de Colmar (68),Extension du système de sécurité incendie - Pôle 2,"Détection incendie, Matériel de secours et d'incendie",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33668
26-33688,2026-04-01,22,['22'],Lamballe Terre et Mer Agglomération,TRAVAUX DE SÉCURISATION ET DE REFONTE DU POSTE DE RELÈVEMENT EAUX USÉES DU PUSSOUÉ À ERQUY,Assainissement,Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33688
26-33715,2026-04-01,973,['973'],"Centre Hospitalier de Cayenne ""Andrée Rosemon""",Creation D'Un Jardin Therapeutique A L'Ehpad Du Ch De Cayenne,"Bois, Décoration (travaux), Electricité (travaux), Mobilier",Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33715
26-33738,2026-04-01,55,"['55', '52', '51', '57', '54', '88', '10']",Commune de Couvonges,Travaux de restauration du clos-couvert et consolidation des décors peints de l'Eglise Saint-Brice à COUVONGES dans le Département de la Meuse (55),"Echafaudage, Monuments historiques, Maçonnerie, Couverture, Vitraux",Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33738
26-33772,2026-04-01,69,['69'],Sytral Mobilités - Transport,Travaux de sécurisation des fosses avec couvertures amovibles et sécurisation des fosses fixes,Génie civil,Marchés entre 90 k€ et seuils européens,Procédure NC,Rectificatif,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33772
26-33466,2026-04-01,35,['35'],Rennes Métropole,Travaux électriques aux Champs Libres,Electricité (travaux),Marchés entre 90 k€ et seuils européens,Procédure Ouverte,Avis de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-33466
26-32894,2026-04-01,13,['13'],Région Provence-Alpes-Côte d'Azur,3ème Phase de confortement du tunnel de Chabrières sur la ligne des chemins de fer de Provence - Relance procédure déclarée sans suite pour motif d'intérêt général,Ouvrage d'infrastructure,Marchés européens,Procédure Ouverte,Résultat de marché,0,False,False,,False,https://www.boamp.fr/pages/avis/?q=idweb:26-32894
